DTXSID,GUID
DTXSID0075368,a6c754b3-9909-4b7c-84a5-832c969e3005
DTXSID0075368,8af58903-33b5-43ce-9fec-4623ab899605
DTXSID0075368,bacdd313-4f9f-4c7e-81bc-7237fff4f1fe
DTXSID00859050,ecdd001e-6ad8-464d-b8c5-ee78d214f218
DTXSID00859050,ae63ad3a-94d7-4681-9551-1e14e18d99ce
DTXSID00859454,ccd9f2af-339c-4a75-83fd-46ffd03459a4
DTXSID00860388,19c87c07-4795-4f79-93f5-481769707573
DTXSID00861370,338ad4df-523a-449a-8a6a-7ef20ac1f146
DTXSID00861411,bef874d7-6251-474d-a1f9-c40838330558
DTXSID00861416,25cf03ba-ddb2-43da-a955-28be759bf9c4
DTXSID00861815,ee08db61-55d8-417f-abaf-920966be149c
DTXSID00862463,c47ee65a-698d-41df-8ac3-42327da41e43
DTXSID00865732,a0384ddf-57cd-4e61-bdcc-7312db7f780e
DTXSID00865994,3a614c6c-e6ab-4199-9e93-18967ada5a66
DTXSID00872406,bfdf8a9e-9446-4493-a4d6-ce54645cc176
DTXSID00872623,68768dbb-cf92-4e49-9a2a-e0533ff6c764
DTXSID00872663,8c141838-f468-40a2-a604-e5aff4db1c1e
DTXSID00873418,e979f368-8718-4f99-a82f-823c56123a73
DTXSID00873418,4562be7f-bb42-40b2-8426-465e3e37952d
DTXSID00873418,093c656e-b5fa-419e-8c38-38a24b44b4f9
DTXSID00873751,cef46fcc-3954-425a-bb3f-57ab1481783c
DTXSID00874167,b76fc5b2-acc5-42df-bac4-9efa5be12d09
DTXSID00875553,8b4eb003-401a-4e8a-bba0-fd458d3ac4b9
DTXSID00878140,5ca87882-54d9-459b-83c8-fd273d95edb7
DTXSID00880041,22738ed1-d4ff-4d2a-91db-735edc21b3e8
DTXSID00881093,d91219b5-ddf6-4a9e-b6fe-aca0cb2d5097
DTXSID00883214,1ececa76-bf30-485e-bed7-b066181b6e0e
DTXSID00883219,c914e4e5-4de2-484f-847f-3f2bb964a0c7
DTXSID00883219,a7b3cfe3-a2b7-4418-a448-c239d35af022
DTXSID00883259,96de7955-5e83-4d6c-94fc-fef16888ddde
DTXSID00883259,a8936bd3-86a2-4efb-baf0-cf69bd2098c6
DTXSID00883259,ee31aabc-053f-4ce6-b7c7-bec0092bb179
DTXSID00883395,213a6ad8-12b3-4a24-a67f-ceeb8889832c
DTXSID00891334,131bf956-c72a-4ac1-b0c9-7d347ae624a6
DTXSID00891339,aecb2682-6fe4-4e69-8122-5ce9528eaf4b
DTXSID00891435,7c6446da-61db-4d36-93ce-aa74bc849a73
DTXSID00891450,ee1f51e9-68c5-43ee-aa8a-1b089a825206
DTXSID00891455,7c771ff7-a6d1-4070-9a46-f11744373933
DTXSID00891455,0cb6021e-afe6-4875-b98d-086d18401176
DTXSID00891455,c36a4162-da59-4d3e-a0fe-9e1b79101825
DTXSID00891490,d95e17e1-900f-42f7-8f4b-4ed5ac1d02e8
DTXSID00891490,966d66ed-741b-4eed-a9b9-5826d33f87bb
